,model,params,score,train_time,test_time
125,Random Forest Classifier,"(200, 10, 6, 1, 'auto')",33.333,2.7320844729983946,0.49134937800408807
126,Random Forest Classifier,"(200, 10, 6, 1, 'sqrt')",33.333,2.7248106119950535,0.49347195500013186
127,Random Forest Classifier,"(200, 10, 6, 1, 'log2')",38.095,2.283198604003701,0.5212428250015364
128,Random Forest Classifier,"(200, 10, 6, 3, 'auto')",33.333,2.7114616140024737,0.4965339230038808
129,Random Forest Classifier,"(200, 10, 6, 3, 'sqrt')",33.333,2.704661452000437,0.49532493800506927
130,Random Forest Classifier,"(200, 10, 6, 3, 'log2')",38.095,2.263472381993779,0.4887074520011083
131,Random Forest Classifier,"(200, 10, 6, 5, 'auto')",38.095,2.7188472190027824,0.4934145430015633
132,Random Forest Classifier,"(200, 10, 6, 5, 'sqrt')",38.095,2.706996547000017,0.48808621999341995
133,Random Forest Classifier,"(200, 10, 6, 5, 'log2')",33.333,2.220109304995276,0.49256998200144153
134,Random Forest Classifier,"(300, 10, 2, 1, 'auto')",33.333,4.114125991996843,0.6564168800032348
135,Random Forest Classifier,"(300, 10, 2, 1, 'sqrt')",33.333,4.0874886230012635,0.6617627239975263
136,Random Forest Classifier,"(300, 10, 2, 1, 'log2')",33.333,3.4913097780008684,0.6685310829998343
137,Random Forest Classifier,"(300, 10, 2, 3, 'auto')",33.333,4.203608277006424,0.6608461200012243
138,Random Forest Classifier,"(300, 10, 2, 3, 'sqrt')",33.333,4.147096114997112,0.6573458229977405
139,Random Forest Classifier,"(300, 10, 2, 3, 'log2')",33.333,3.4522235179974814,0.6567775619987515
140,Random Forest Classifier,"(300, 10, 2, 5, 'auto')",38.095,4.183723120004288,0.658851677995699
141,Random Forest Classifier,"(300, 10, 2, 5, 'sqrt')",38.095,4.168604118000076,0.65699852599937
142,Random Forest Classifier,"(300, 10, 2, 5, 'log2')",33.333,3.4535034829968936,0.7074030559961102
143,Random Forest Classifier,"(300, 10, 4, 1, 'auto')",33.333,4.2541741320019355,0.6611323159959284
144,Random Forest Classifier,"(300, 10, 4, 1, 'sqrt')",33.333,4.248228331001883,0.6672935620008502
145,Random Forest Classifier,"(300, 10, 4, 1, 'log2')",38.095,3.4249114129997906,0.6588758290017722
146,Random Forest Classifier,"(300, 10, 4, 3, 'auto')",33.333,4.112569709999661,0.6500409779982874
147,Random Forest Classifier,"(300, 10, 4, 3, 'sqrt')",33.333,4.121140042996558,0.6631288490025327
148,Random Forest Classifier,"(300, 10, 4, 3, 'log2')",33.333,3.4105860440031392,0.6539034660017933
149,Random Forest Classifier,"(300, 10, 4, 5, 'auto')",38.095,4.07519391799724,0.6650387490008143
150,Random Forest Classifier,"(300, 10, 4, 5, 'sqrt')",38.095,4.051628041997901,0.6565281389994198
151,Random Forest Classifier,"(300, 10, 4, 5, 'log2')",33.333,3.381537756002217,0.6543550350033911
152,Random Forest Classifier,"(300, 10, 6, 1, 'auto')",33.333,4.1447728109997115,0.6570258200008539
153,Random Forest Classifier,"(300, 10, 6, 1, 'sqrt')",33.333,4.1279863029994885,0.6558991150013753
154,Random Forest Classifier,"(300, 10, 6, 1, 'log2')",38.095,3.4226885969983414,0.6544244310061913
155,Random Forest Classifier,"(300, 10, 6, 3, 'auto')",33.333,4.111685194999154,0.655770819997997
156,Random Forest Classifier,"(300, 10, 6, 3, 'sqrt')",33.333,4.129806953998923,0.6543054610010586
157,Random Forest Classifier,"(300, 10, 6, 3, 'log2')",33.333,3.3987302999958047,0.6545381600008113
158,Random Forest Classifier,"(300, 10, 6, 5, 'auto')",38.095,4.084323221002705,0.6593130019973614
159,Random Forest Classifier,"(300, 10, 6, 5, 'sqrt')",38.095,4.10062273999938,0.6546934910002165
160,Random Forest Classifier,"(300, 10, 6, 5, 'log2')",33.333,3.42873960200086,0.7707111530035036
161,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'lbfgs', 0.0001)",33.333,0.5024115409978549,0.1723445560055552
162,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'lbfgs', 0.0017782794100389228)",38.095,0.5516504600018379,0.16945860099804122
163,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'lbfgs', 0.03162277660168379)",33.333,0.5768722190041444,0.17965413199999603
164,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'lbfgs', 0.5623413251903491)",33.333,0.5817931290002889,0.1760719899975811
165,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'lbfgs', 10.0)",33.333,0.5460791269943002,0.18110062499908963
166,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'sgd', 0.0001)",38.095,2.176914883995778,0.17684512700361665
167,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'sgd', 0.0017782794100389228)",38.095,2.237589571996068,0.17738609100342728
168,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'sgd', 0.03162277660168379)",38.095,2.2625094820032245,0.1793337360068108
169,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'sgd', 0.5623413251903491)",38.095,2.2744789639982628,0.1813891269994201
170,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'sgd', 10.0)",38.095,2.3502254339982755,0.19062674199813046
171,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'adam', 0.0001)",33.333,2.9297725150026963,0.20651526900473982
172,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'adam', 0.0017782794100389228)",33.333,2.8597279399982654,0.19519975599541795
173,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'adam', 0.03162277660168379)",33.333,2.8009494099969743,0.18583079999370966
174,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'adam', 0.5623413251903491)",33.333,2.6685715839994373,0.19956252699921606
175,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'identity', 'adam', 10.0)",38.095,2.8569483190003666,0.18602581300365273
176,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'lbfgs', 0.0001)",33.333,1.1292915469966829,0.1973376699970686
177,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'lbfgs', 0.0017782794100389228)",38.095,1.2673814719964867,0.21793257499666652
178,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'lbfgs', 0.03162277660168379)",33.333,1.1557831519967294,0.18701272500038613
179,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'lbfgs', 0.5623413251903491)",33.333,1.1778583360064658,0.18325074599852087
180,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'lbfgs', 10.0)",33.333,1.2365773000055924,0.18962344500323525
181,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'sgd', 0.0001)",38.095,3.1534714459994575,0.1904338660024223
182,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'sgd', 0.0017782794100389228)",38.095,3.023544016003143,0.20451838499866426
183,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'sgd', 0.03162277660168379)",0.0,2.9988486590009416,0.18847939800616587
184,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'sgd', 0.5623413251903491)",38.095,3.0579777660022955,0.1857107449977775
185,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'sgd', 10.0)",33.333,3.005031216001953,0.1856309409995447
186,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'adam', 0.0001)",38.095,3.2331029460037826,0.18813513399800286
187,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'adam', 0.0017782794100389228)",9.524,3.332920192995516,0.17981522899935953
188,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'adam', 0.03162277660168379)",38.095,3.2619888779954636,0.1916556939977454
189,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'adam', 0.5623413251903491)",33.333,3.199966489999497,0.19709529900137568
190,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'relu', 'adam', 10.0)",38.095,3.153670287996647,0.1843294530044659
191,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'lbfgs', 0.0001)",4.762,0.44030077799834544,0.18557238199718995
192,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'lbfgs', 0.0017782794100389228)",4.762,0.5079317850031657,0.19401054800255224
193,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'lbfgs', 0.03162277660168379)",4.762,0.5049237830025959,0.1890958860021783
194,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'lbfgs', 0.5623413251903491)",0.0,0.5179741409956478,0.18870031800179277
195,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'lbfgs', 10.0)",0.0,1.6497485479994793,0.19451765900157625
196,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'sgd', 0.0001)",0.0,3.36379491599655,0.20611898800416384
197,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'sgd', 0.0017782794100389228)",42.857,3.335669197003881,0.20808892699278658
198,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'sgd', 0.03162277660168379)",0.0,3.2730327940007555,0.18904593500337796
199,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'sgd', 0.5623413251903491)",38.095,3.2316727450015605,0.1913147699960973
200,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'sgd', 10.0)",23.81,3.219192699994892,0.19281260500429198
201,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'adam', 0.0001)",4.762,3.525952034004149,0.19806388700089883
202,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'adam', 0.0017782794100389228)",38.095,3.6038459959963802,0.1973894679977093
203,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'adam', 0.03162277660168379)",38.095,3.548741010003141,0.19444271300017135
204,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'adam', 0.5623413251903491)",4.762,3.4267145990015706,0.19896716700168326
205,Neural Network (MLP Classifier),"((80, 20, 40, 5), 'logistic', 'adam', 10.0)",4.762,3.4689042780009913,0.21953614099766128
206,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'lbfgs', 0.0001)",33.333,0.6804983599940897,0.21198209300200688
207,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'lbfgs', 0.0017782794100389228)",33.333,0.7142346940017887,0.2224042770030792
208,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'lbfgs', 0.03162277660168379)",33.333,0.7274540889993659,0.20416304699756438
209,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'lbfgs', 0.5623413251903491)",33.333,0.7741461350015015,0.19778157999826362
210,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'lbfgs', 10.0)",42.857,0.6074547319949488,0.2035119299980579
211,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'sgd', 0.0001)",38.095,2.732117088002269,0.19523573300102726
212,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'sgd', 0.0017782794100389228)",38.095,2.618222308999975,0.18642990099760937
213,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'sgd', 0.03162277660168379)",38.095,2.558962110997527,0.199706129002152
214,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'sgd', 0.5623413251903491)",38.095,2.7960697969974717,0.21264653900288977
215,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'sgd', 10.0)",38.095,2.780078053001489,0.19756853499711724
216,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'adam', 0.0001)",33.333,2.937542815998313,0.1891793089962448
217,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'adam', 0.0017782794100389228)",33.333,2.9099841540009947,0.18993641700217267
218,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'adam', 0.03162277660168379)",33.333,2.9222078199964017,0.1840813739981968
219,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'adam', 0.5623413251903491)",33.333,2.9395707000003313,0.1955489009997109
